Nr.,Comment in English,Spam / Ham,Polarity,Feature Request,Problem Report,Safety,Efficiency
1943,"0:46 If you're going to have 3 these on every block just take out the subway and make them inaccessible to cars. 
This little shuttle is fine. Then, 100 people going to block A can be 9 cars instead of 90. It will also prevent needing a menu system accessible by everyone that doesn't involve an app or a specific model of car, since the current model is accessible by anyone with a car. Lastly, who's paying for the upkeep after it's built? Musk or LA?",ham,neutral,x,,,
1945,"Isn't this what metro trains are for? Except, you know, lower operating costs, higher passenger density, simpler construction?",ham,neutral,,x,,x
1949,what they don't show you is the line of 23 cars waiting their turn.. in a populated city...,ham,neutral,,x,,
1950,"The cost to gain ratio just doesn't seem right to me. If cars are truly driverless, you won't really be that annoyed with traffic
 since AI cars will be highly efficient and there will be fewer accidents that cause traffic. Plus if you do get stuck, you can just sit there and watch a movie or sleep while in route",ham,neutral,,,,x
1951,"What if we use this to create underground parking pods instead?  
 And create new traffic lanes on the newly available space?",ham,neutral,x,,,
1952,then a earthquake happens,ham,neutral,,,x,
1958,there would be sooo many more sinkhole incidents happening,ham,neutral,,,x,
1978,What if a terrorist just goes down there and fuks errthing up,ham,neutral,,,x,
1979,what if theres a earthquake,ham,neutral,,,x,
1992,As soon as an earthquake happens your screwed,ham,neutral,,,x,
1996,what if a earthquake or tsunami comes along?,ham,neutral,,,x,
2001,"I think just the automated car caddy part would be good.  It could smartly move the car through
 existing roads and do away with street parking slow downs and congestion.",ham,positive,x,,,
2005,"Great idea but impossible to pull off with building foundations, pipes, sewage systems etc. 
The feet it would need to go underground to be possible would be over the top and HIGHLY expensive.",ham,neutral,,,,x
2006,What if something brakes down there or there is an emergency how the ambulance go down there,ham,neutral,,x,x,
2022,looks dangerous why not just put it above ground ?,ham,negative,,,x,
2030,a bomb will bring the whole thing down,ham,negative,,,x,
2035,"All good until someone presses down on the gas, while riding on that platform.",ham,neutral,,x,,
2043,But if they do go down will there just be a huge hole where they went down?,ham,neutral,,x,,
2050,First accident that backs this tunnel up for days and its over with......,ham,negative,,x,,
2059,"Yeah, because there won't ever be a traffic jam, equipment malfunction, 
 earthquake or even terrorist attack that could potentially trap people underground for hours or even days. Not against it, just wondering how reliable this will be. There would be some impressive crashes a 124 mph.",ham,negative,,x,x,
2068,"Way to many things could go wrong, maintenance would be expensive and hard, if a tunnel malfunctions and you become 
stuck getting you out would be very difficult and if it caused an accident the clean up and repair would be immense, in order to install this you would literally have to re-design a city and have to stop city life to install most of it, instillation would take A TON of money and time, to much can and will go wrong, not gonna happen",ham,negative,,,,x
2081,What happens if a car pod malfunctions? The car will stop and then other cars will wreck into it without being able to stop.,ham,negative,,x,,
2095,not a good idea in an earthquake zone,ham,negative,,,,
2109,Wouldnt some people fall in the holes? They should probably make a fence around it when it's in use.,ham,neutral,x,x,x,
2122,"And all those waster pipes, sewer pips, drain pips, telephone/cable/electrical conduit's and subways lines disappeared. 
 And lets not forget that the million dollars afoot price tag.   But, it did look cool.",ham,neutral,,x,,x
2141,"Kid trips and falls into hole.
I'll leave how the kid dies up to your imagination.",ham,neutral,,x,x,
2143,"I admit, this was quite anticlimactic...
This type of transportation would only make sense on long distances that are hard to get to as well. If there is such an entrance every few blocks, such a system would never ever work out for anybody. 
We still got regular highways, airplanes and ships, after all. And they perfectly show how long distance travel works: A big central hub that has the capacity for thousands of individuals. Not a ""one car only entrance"" every few blocks. 
The only way this idea would be practical were if for some reason subways, highways, airplanes and regular railways would disappear. Yea, thats not gonna happen.",ham,negative,,x,,
2144,why use a platform for the car if its already going to have self driving abilities?,ham,neutral,,x,,
2150,"124 mph without tying the car down? oh yeah, and how long before the idiots come out of the woodwork, 
and start opening their doors, exiting the vehicles, hanging out of sunroofs etc. ?",ham,negative,,x,x,
2158,You also cannot build tunnels in places like Florida due to the limestone underground,ham,neutral,,,,
2159,"Dude, individual cars? Seriously? Build a train system, reduce personal vehicles, don't encourage them. 
Do you know how much livable space is taken up by parking and car storage in Los Angeles? Space that could be parks, businesses, housing. Let trains move people, less cars on the road is the only true answer.",ham,neutral,x,,,x
2160,I think flying car is better alternative to traffic jam or even faster transportation means.,ham,neutral,x,,,
2163,What if a terrorist enters a tunnel with a car full of explosives?,ham,negative,,,x,
2167,"If everyone's already in their electric cars, why don't the cars just drive through tunnels? 
It seems a lot cheaper than having shuttle cars ferrying everyone around. 200 kph isn't outside the current Tesla's operating range",ham,neutral,x,,,x
2176,"Pretty cool, but trains. Also wouldn't it just be better to have a bog standard tunnel in the 
form of an above ground avenue with access to underground parking at the base of buildings. You could even put ramps that allow for cars to travel to street level. Anyway foot traffic is the most viable option, build things close together with pedestrian access from footpath and have a proportion of pedestrian only streets. Walking is the least energy intensive mode of transport, you shouldn't need a car to go buy milk or visit people in you neighbourhood.",ham,neutral,x,,,
2178,"a really important question just came to mind. how are they going to get all that car exhaust out of the tunnels.
 The car is running inside the tunnel or regardless people won't turn off their cars even if it's suppose to be off. I smell a build up of car exhaust in those tunnels. like the idea but may need so minor tweaks",ham,neutral,,x,x,
2185,"That is gonna make traffic problem bigger, We dont need more solutions for cars!, We must to reduce cars! for less traffic!.",ham,negative,,x,,
2186,"One error, we see 4 wheels in the transport platform and it runs along a track.
 When the tracks merged. Wouldn't the wheels clash into it?",ham,neutral,,x,x,
2205,"What happens when someone drives over the giant hole on the side of the road, 
or when some salty kid pushes his brother down it???",ham,neutral,,x,x,
2210,Or just double the amount of lanes by building another freeway on top of the current one,ham,neutral,x,,,
2211,"I see a lot of problems with this. The first one would deal with geologic instability caused by fracking.
 The other is not all cars are the same size.",ham,negative,,x,,
2213,Maybe put the entrances on their own private lot and not on the side of a busy street.,ham,neutral,x,,,
2222,Soo... If there is a earthquake or anything the tunnels will be down for weeks or months! sick!,ham,negative,,x,,
2225,"the stupid company more like it ..... really this is a child's animation a cartoon showing a concept and zero how it would work ...
tracks just magically merge something that has never been able to do in any rail system ....elevator shafts with no well nothing the lift is magic it can hold all that weight and no need for cables hydraulics nothing just a magic platform.... zero ventilation for exhaust you tunnels would kill all that entered them after the first few minutes ....not to mention to build this version you have to excavate an entire city .... its infrastructure has to go somewhere .... there is not 1 tunnel on the planet that spans more than a 1/4 mile with out an infrastructure for lights and air ......and whats the propels the lifts the platforms.....again a child could design this exactly the same and if you producing at the same intellectual level as a 6 year old you ain't gonna cut it in engineering",ham,negative,,x,,
2226,"Wait.. so a car drives onto a frame and then goes underground  ...leaving a giant car-sized hole exposing an elevator shaft 
that goes deep in to the ground.  Nothing could go wrong there..    That aside, interesting concept.",ham,neutral,,x,x,
2238,"It's all fun and games until it cost tax payers millions of dollars, takes years to construct, and L.A. suffers from an earthquake. It would result in a massive rebuilt with thousand of people who were placed in harms way.
Way to go Elon Musk!",ham,negative,,,x,x
2239,Why have cars when you can just put seats on those? What is the purpose of this?,ham,neutral,,,,
2241,"al lot of people will have lung problems because  of air pollution that is trap in there. instead if we find a way
 that everyone will use electric cars but they might activate gas mode too.",ham,negative,x,x,x,
2245,what if this thing stops then what are their just going to be thousands of people stuck in some underground tubes,ham,neutral,,x,x,
2252,"wouldn't work. when the cars come up, what's stopping other cars trying to pull onto that side of the curb?",ham,negative,,x,x,
2258,"Layering a safe underground road system in an already existing large city like new York is NEVER going to happen... 
They'll have to dig the entire city, disrupt the subway, sewer not to mention the havoc it'll cause above ground.  What about earthquakes, terrorism, floods, accidents ?     The idea is lovely but its unrealistic unless a new city or part of a city is being built so they could start from the ground up...literally.",ham,negative,,x,x,
2260,"It would be cheaper to build and maintain building up. Monorail trains or single car this exact system
 but above ground. Elevated above existing infrastructure",ham,neutral,x,,,x
2267,"why just make tunnels, make all the roads on rails and make it possible to move around on that. 
it probably will be faster and you could make it all electric. that way both rail cars and regular can still share the already made roads and the self driving would be safer since it's on a rail. maybe even make it so one could get off the rail and drive normally. aaah the future",ham,neutral,x,,,
2270,Not sure if this would work Elon. Let's reduce the need for traffic by getting self driving busses and cars.,ham,neutral,x,,,
2287,"The problem is scheduling each arrival and also that one dumbass person who would park over it then when it opens they fall in. 
Don't do tunnels, it's to much labor and work and by the time it is complete it prob be 60-70 years later to connect every city.",ham,negative,,x,x,x
2296,"I have two things wrong with this idea. Where would you park if this thing is on the side of the road,
 and couldn't somebody drive into one of the holes in the ground?",ham,neutral,,x,,
2303,"I can tell this won't work, first he needs permits, second he needs to not make the heavy buildings collapse,
 third this is stupid it takes up the street causing more traffic making this hypocritical, finally the car is in no way secured properly. And it's 11pm so I'm way to tired to come up with any more of these.",ham,negative,,x,,
2320,"But how do the platforms know where you want to go? Also, how do you know there are platforms where you're going?",ham,neutral,,,,
2337,One earthquake and hundreds of thousands of people are dead,ham,negative,,,x,
2339,"that's all cool and everything but this doesn't take into account groundwater Pipelines animal life the locations of these 
places because some major cities are either sitting right at sea level or they're under sea level the ground stability and much more",ham,neutral,,x,,
2347,"What the fuck happens if some nut job tries to drive his car off the little cart and backs the whole thing up?
 What if there is an earthquake that cripples the structural integrity of the tunnels? This concept seems cool on paper, but there so many other factors as well, not just the ones I listed.",ham,negative,,x,,
2358,What if someone else falls in that hole when the car goes down? 🤔,ham,neutral,,x,x,
2359,I wonder how much one earthquake will do to this.,ham,neutral,,,x,
2360,What about carbon monoxide?,ham,neutral,,x,,
2362,"Love Tesla, Love Elon Musk, This is awesome, but unrealistic. If an elevator takes you down, that means that everyone will have to wait for an elevator. 
Traffic will be terrible. Image a hotel elevator, but now it takes 1 at a time, and more people are going on it at once. I think this could work if we didn't have a pre-existing infrastructure. Since we do this will clash and cause problems. I would think it would work great for cargo. Instead of an 18 wheeler we can send large cargo across country then use short cargo travel to  make it reach final destination. Even then I think the Hyperloop would be its competitor. And in business competition isn't good.",ham,neutral,x,x,,
2365,Interesting... but how do you keep idiots from accidentally driving off the platform?,ham,neutral,,,x,
2371,Earthquakes will destroy pipes. Resulting in no way to contact someone because you will not have service. Unless we advance that much...inb4riot,ham,neutral,,x,x,
2384,"This is amazing, but unless all the cars are Zero emissions 100% then the tunnels will have the have major ventilation,
 and what if there's an accident inside the tunnels? Also when the elevators go down, there's a huge hole in the road, unless there is some kind of barrier someone will drive in to the hole.",ham,positive,x,x,x,
2386,"Not sure how this is going to affect the bases of skyscrapers underground or the structural integration of the city,
 not to mention malfunctions or long line ups for that tunner that requires ever car to be on a wagon that can only provide one",ham,neutral,,x,,
2390,Earthquake?,ham,neutral,,,x,
2403,That will never ever happen in Los Angeles. One earthquake and its all over.,ham,negative,,,x,
2408,It's all fun and games until you hit an earthquake or a sinkhole. What then?,ham,neutral,,x,x,
2416,Imagine an earthquake hit the city,ham,neutral,,x,x,
2420,what happens when a natural disaster hits?,ham,neutral,,x,x,
2427,"By the time it's your turn to go in the tunnel from the line, you would have made it to your destination driving above ground..",ham,neutral,,,,x
2441,"So when a loading dock is down is there just a big hole in the ground, or a place for someone to mistake as a parking spot and
 then get fucked when a car comes up. What happens if more than one car has to get off that underground road and a line forms on a 124 mi/hr road just because people are trying to get off at the same spot?",ham,neutral,,x,x,
2443,Oh never mind the earthquakes that would constantly wreck and trap people underground.,ham,neutral,,,x,
2447,What if a terrorist decides to go allahu akbar in the tunnels?,ham,negative,,,x,
2452,how will the surface hold up if the ground below is hollow..?,ham,neutral,,x,,
2463,All nice and dandy until buildings start to sink because of the drilling of a massive amount of tunnels under ground.,ham,neutral,,x,x,
2465,"will there anything similar for pedestrians like an elevator with 2 or 3 seats. I saw some kind of box in the video an people
 were going down the tunnel but they were standing up the speed of the thing would probably knock em down.",ham,neutral,x,x,x,
2467,"what if some idiot parked on top of it will it stay there or will it mistake it
 for someone trying to use it and just take off with your car.",ham,neutral,,x,,
2490,"A much better solution:
- Make a conventional road or tunnel (non of this complicated elevator crap)
- Create a barrier-to-entry onto said road such that only pre-approved EV's with self-driving capabilities are allowed to enter.
- Force autonomous driving on said roads. (Take complete control of the car and do not allow humans to drive)",ham,neutral,x,,,
2497,So you just ganna break all the sewages and pipes?,ham,neutral,,,,
2506,"well... fixing and making a highway above the ground is not a fast and easy job already, imagine how to build this concept below 
the ground where pipes, fiber optics, and drainage located. And it's even worst when disaster happens, harder to evacuate, the ground above will also not strong enough when there is a huge tunnel below it. it's just amazing in cgi, not in real life tbh. who's gonna pay for that huge project? transportation technology will be much more advance even before this tunnel finished it's first route. cool video btw.",ham,neutral,,x,x,x
2507,what if the elevator thing stops working and you get stuck down there?,ham,neutral,,x,x,
2536,I imagine a line to those blocking all the traffic.,ham,neutral,,x,,
2542,"What happens when a technical malfunction occurs in the middle of a tunnel? 
People inside the car won't have any assistance nearby and will be stuck down there. Also, when a car goes underground, a big hole appears to be left on the road. What if a car or someone accidentally falls into it?",ham,neutral,,x,x,
2544,"Like there aren't idiot drivers out there who will drive right into a huge hole in the ground multiple times in a day.

Just stick with advancing self-driving vehicles and improving the existing infrastructure to support them.  No need to re-invent the wheel, ffs.

Besides.... making a ""car"" for a car is about as redundantly stupid as it gets.",ham,negative,,x,x,x
2545,"What would happen if an earthquake would happen, I wonder.....",ham,neutral,,,x,
2548,"It leaves a huge hole in the road once one of the cars goes down , 
definitely dangerous as some moron could drive into the hole. This project would take decades.",ham,negative,,x,x,
2551,Where would all the by-sidewalk parking go?,ham,neutral,,x,,
2563,Wouldn't those cause lines to happen?,ham,neutral,,,,
2564,FIRE IN THE TUNNEL,ham,neutral,,x,x,
2567,"but with the amount of cars on the road, wouldn't there be traffic in the traffic tunnels?",ham,neutral,,x,,
2577,"this concept has quite a lot of hurdled to overcome, including all the existing infastructure in the way. 
But what happens when these things have long line ups that clog up traffic? There has to be a more efficient way to enter the tunnel",ham,neutral,,x,,x
2584,First person to trip or fall down that thing is gonna sue and ruin it for everybody.,ham,negative,,x,,
2588,how will it know where u want to get off and if a crash occurs it will prob take forever to clear up the track.....,ham,neutral,,x,,
2595,"This would never work in Colorado. Somehow, water would get in there, 
freeze, and cost a lot of money. We can't even fix our roads anyway...",ham,negative,,x,,
2608,"you have to wait for the other car to come out? hell no, i'm not waiting that long",ham,negative,,x,,
2611,"I'm not a fan of the Entrance holes being near pavements and other passing cars. They should be in the basements of adjacent skyscrapers with automatic doors to enter and exit the tunnels. Or in shallow tunnels that join to other deep tunnels.
That would keep pedestrians and troublemakers away from the Car Lift shafts. Also at the other end of the 50km tunnels I'd have the cars come up from the ground and form flyovers for a few more kms. Maybe go from L.A to San Francisco and on to San Diego. Most of this would be above ground as we could reduce costs but some tunnels under Highways and Train Tracks would be required.",ham,negative,x,x,,
2619,"cool idea,but what about earthquakes,natural disasters,etcetra! I could see it as a future use 
but it's expensive and so developing countries can not use it!",ham,neutral,,,x,x
2622,"So... what happens if it rains. Will it flood? How about a fire? Pileup? What if power goes off and someone is in need of
 medical help? It is a cool concept, but it doesn't seem like the best.",ham,positive,,,x,
2636,talk about flooding issues i can see everyone drowning,ham,neutral,,x,x,
2647,"I love how the comment section is pointing out all of the flaws with this. Think about this though, what would happen if the system
 went down and you were stuck down there? Or if people would use tunnels for dubious things, like drug smuggling or some shit. I don't know man, but people always figure out ways to exploit shit. Maaaaan, what if hobos started living down there? So many things could happen! Imagine conversations like: ""Okay Bill, let's get to that meeting in Dallas. Don't worry, it's only 20 minutes away from San Diego we won't be late."" idk",ham,neutral,,,,
2681,What about security? What if there was a bomb there was bomb that could just instantly devastate it,ham,negative,,,x,
2683,What about earthquakes?,ham,neutral,,,x,
2687,YEAH! More reasons for random sinkholes to open up after it rains.,ham,neutral,,x,,
2689,"Maybe they should make an underground tunnel for walking and bicycling. I feel that would be very convenient and
 they could also make aboveground paths for walking that are above streets. I think it can be difficult for people to get around by walking because of all the crosswalks they have to get past. Not everything to do with transportation has to have to do with cars. many cities need more public transportation options like subways, monorails, instead of car tunnels. BUT I think those tunnels might work more for long distance rides. It would probably be more convenient, if someone wants to go from one city to another, and avoid the traffic, and be able to relax because it's self-driving. Instead of current driving where you have to be focused on driving at all times",ham,neutral,x,,,
2692,"Won't all newly produced cars become driverless in the next decade or two? If that's the case
, won't traffic become less and less of a problem? When all cars on the road are driverless, there should essentially be zero traffic.  I don't completely understand why we should be boring tunnels underground if there won't be a traffic problem in the future.",ham,neutral,,,,
2696,"Hmmm ... well, we'll be standing in line when we take the elevator ...",ham,neutral,,x,,
2701,What happens when a car drives into the enormous hole in the road?,ham,neutral,,x,,
2704,but what if it gets stuck,ham,neutral,,x,,
2706,thats just a subway but it takes 16 times as much space for one person,ham,neutral,,,,x
2719,"Like others, I'm a little puzzled why you don't just let the electric cars ride in the tunnels. 
I guess to accommodate gasoline cars but why not just fuck those? of course you save range but at quite extreme cost. In LA the range is not really the issue. It's the freedom to move. Drops the carts and you could have something although I feel it will lose out to infrastructure free flight. And in the longer run, I'm fairly sure it will. Particularly when we start to go mach 20+ then free flight is hard to beat.",ham,neutral,,,,
2720,what if i opened the door,ham,neutral,,x,,
2728,"SO, WHO IS GOING TO PAY FOR ALL THAT INFRASTRUCTURE?   UNDERGROUND HIGHWAYS IN L.A.?
  HOPE THEY SOLVED THAT LITTLE EARTHQUAKE ISSUE.",ham,neutral,,,x,x
2736,earthquakes?. flooding?.,ham,neutral,,x,x,
2740,"Cool. Main problem is some distracted driver surface-side who drives right into one of those pits while 
it's lowering a car down to the tunnel.",ham,neutral,,x,x,
2742,Do the holes close after the car goes down or wtf.,ham,neutral,,,,
2743,"Well if all traffic goes underground, they better restructure the entire infrastructure design from the surface up to get it 
even between the underground roadway and the new surface look..",ham,neutral,x,,,
2744,"Elon is putting his ""self driving"" car (which is not, just autonomous software) on top of a real self driving wagon in a fixed road line. 
Too inefficient and energetically costly to transport just one or 2 persons. That is not a solution for nothing, is more ridicoulous luxury and CO2 for the earth.",ham,negative,,,,x
2750,"u cant hallow out the underground part of the city that would take forever bc u are cutting a chunk out of the earth, 
and the citie's weight would not be supported bc there is only a thin pieces of earth underneath the buildings and then nothing and what if something goes wrong, can an ambulance or a fire truck fit into one of those car-molds to get down there? i have more to say but ik this isnt real so imma stop",ham,neutral,,x,,
2752,"That's also a LOOOOONG time to wait to be transported from above to underground. 
Yes the cars move at 200mph but the bottleneck effect that would occur waiting for each car individually to drive onto the platform, wait for the movement to initiate and go down. This is just a cool video, that's it",ham,neutral,,x,,x
2753,"I would put more lights, colors and ads on the tunnel or make the walls off of big screens.",ham,neutral,x,,,
2754,so what about the traffic jam to get into one of those things...ah ahahah,ham,neutral,,x,,
2769,Then a random earthquake happens..,ham,neutral,,,x,
2772,Great idea but if the automatic tracks ever stoped. Boom lots of people dead underground,ham,neutral,,x,x,
2777,"Let's just ignore the fact that under streets there are sewer pipes, water mains, electrical and fiber optic cables
 and they would just all be rerouted to make room for elevators that connect to tunnels that would have to be built below subway tunnels.",ham,neutral,,x,,
2786,But wouldn't the wait for the car elevator take forever?,ham,neutral,,x,,x
2798,"wouldn't the entrances/exits to the tunnel system become just as crowded because everyone is trying to get out of traffic?

and what if you reach your destination underground but all of the slots on the surface are occupied? wouldn't that create congestion, which could spread to the underground network?

what if a car breaks down while it's on the platform? does it get carted away all over the place?

what if the platform breaks down while your car is on it? wouldn't that hold up the whole operation for everyone on that track?

power outages?

seriously, for every complication of travel that is removed by taking out the independent driver, this unnecessarily complex and impractical system puts one back in.",ham,negative,,x,,
2808,"None of this makes any sense. How would you be able to come up when people are going 100+ mph behind you? 
How would you stay put on one of those carts?",ham,neutral,,x,,
2810,its cool...but what happens if theres an earthquake,ham,positive,,,x,
2814,"then attach these tubes to Hyperloop tubes that can take your car to more distant destinations like
 LA to Las Vegas or St. Louis to Chicago, etc.",ham,neutral,x,,,
2817,but is this earthquake-safe?,ham,neutral,,,x,
2818,"Retarded idea, what is the point of the car then?
It`s casual metro for a fucking single vehicle? WHAT?
Have you imagined a safety rules for this place?
What if there will be atack of a terrorists, what if there will be a problem?
Ventilation, additional electricity for each platform.
Jees why would you even do a video for this retarded idea?",ham,negative,,x,x,
2826,Imagine the line you'd have to wait in to use one of those  😂,ham,neutral,,,,x
2834,what if i have a truck ? or a motorbike,ham,neutral,,x,,
2835,Just imagine there is an earthquake and water is flooding inside,ham,neutral,,x,x,
2838,"I'm all for tunnels but this seems to be the most complicated way of providing access to them. 
The occasional ramp would be much more practical.",ham,neutral,x,,,
2839,"Why not just do this with an above ground monorail system🙄 
you wouldn't need any lighting and you wouldn't be prone to sink holes, power outages, or earthquakes",ham,neutral,x,,,
2849,"Will be some complicated cleanup, I see this as the next train or subway to jump in front of.",ham,negative,,x,x,
2859,"1. The system of platforms at the moment is too unrealistic, the construction of a contact network + platform ...

 the costs will be huge. It is easier to essentially duplicate ground communications. 2. Isn't Los Angeles in a seismically active area? What effect can even a small fluctuation have on deep structures?",ham,neutral,x,x,,x
2869,"It's a self driving car which hitches a ride on another self driving pod which goes underground, that's stupid....
 Just do away with the pod and let tesla drive itself underground...",ham,negative,x,x,,
2871,When the platform goes down couldn't someone walking accidentally fall down from the hole,ham,neutral,,x,x,
2872,"dont you think there will be traffic to take one of those transporters. The main aim of this company is to reduce traffic. 
on top of this, the amount of work to be done is humongous. They have to keep in mind the various cables, pipelines and alas mother nature. She can pretty devastating sometimes.",ham,neutral,,x,,
2882,Until someone brings a bomb down there,ham,negative,,,x,
2896,what about earthquake and earthworms and shit.,ham,neutral,,x,,
2903,"This wouldn't be practical at all for a number pf reasons....

1.  Waiting times
2. You'd get long line up of cars along the road thereby contributing to traffic congestion
3.  Punching that many holes and in the ground weakens the top  foundation layer where heavier objects such as buildings and construction equipment are.",ham,neutral,,x,,
2912,What if there's an earthquake?,ham,neutral,,x,x,
2917,"very impractical!! we'd have to wait days to get into one of those carrier things!! Maybe
 if the car was transported into a track directly without the carrier it would've been quicker!!",ham,neutral,,,,x
2921,imagine earthquake,ham,neutral,,x,x,
2922,What if there's an earthquake while going underground. 😫,ham,neutral,,x,x,
2927,"Why not just do this above ground?

I heard that some cars (probably self driving) can communicate with each other. 

Implement this with the rail line and ""lunch tray"" and your gold.",ham,neutral,x,,,
2928,What if it rain .... all the water goes to this holes ?,ham,neutral,,x,,
2930,"Wouldnt the slow speed of the lowering and lifting of the vehicle into the tunnels cause a problem in traffic? 
Not to mention waiting for the transportation vehicle for your car to return from transporting someone else.",ham,neutral,,x,,x
2931,What if one of this slot cars crashes ???,ham,neutral,,x,x,
2937,"Two reasons this won't happen any time soon: 1. Too many people are resisting automated cars. 2. Too many people don't want higher taxes.

Only the government could provide such a mode of transportation, if it could be built in the first place.",ham,neutral,,x,,
2940,Anyone else concerned about the car sized holes in the road,ham,neutral,,x,x,
2944,What if something happens underground? what's the way out?,ham,neutral,,x,x,
2952,"What happens if there's a terrorist inside one of these cars and it explodes? 
it's easy to clean up debris in a regular road but a tunnel explosion is a different story",ham,negative,,x,x,
2964,What if theirs an earthquake?,ham,neutral,,x,x,
2966,earthquake will have a blast with this idea.,ham,negative,,,x,
2968,bad idea. earthquake would lay waste to this,ham,negative,,,x,
2972,So it just leaves a giant 20+ foot car-sized hole in the ground until another cart comes up? How many people are gonna drive into those...,ham,neutral,,x,x,
2973,"What if a car was going down and someone in another car was being dumb and decided to park there,
 it would fall in the hole and create a crash, most likely killing the person underneath. Seems like a cool idea but there would be way too many problems.(more than the one I mentioned here)",ham,neutral,,x,x,
2980,Yeah but one earthquake and everyone is fucked,ham,negative,,x,x,
2990,"Yeah, I'd never trust that...anything can happen while you are down there, and it doesnt look like anyone can get to you in an emergency",ham,neutral,,,x,
2997,"Inefficient in cities as depicted. Imagine the lineup for just 1 of those elevators on a two lane city road.
A good concept for interstate travel though. Maybe large carriers like ferries transferring cars en masse from city to city. Goodbye airline and car rental companies.",ham,positive,,,,x
2998,"Cool concept but a massive infrastructure cost to add to existing cities.
 Now if you were building a new city and added this first it cost to be cut dramatically.",ham,neutral,,,,x
3007,One earthquake that's it,ham,neutral,,x,x,
3018,wht are they going to do when an earthquake comes?,ham,neutral,,x,x,
3043,"Think about it, This is more than likely is not gonna happen any time in the next 100 years if not never. 
There would be a ton of people wanted to get on it because its faster causing even more traffic. It would be extremely expensive to build and very time consuming.",ham,neutral,,x,,x
3049,"yeah totally because Sewage pipes are non existent in this world.. all the time and effort put into dis and they have no idea the
 dangers of sink holes fires emergencies and bombings...TBH THIS IDEA CAN WORK...if u make easy acces routes for emergency services and such... [100% support if u change ur plans a bit]",ham,neutral,x,x,x,
3050,So what happens if  there is a car crash inside the tunnel?,ham,neutral,,x,x,
3052,"there are so many flaws Whit this idea like how long it will take how much it will cost and all the accident that could
 happen like what if there is a earthquake or a fire down there and if so how will paramedics get down there also this doesn't take in count on the weather what if there is a flood people can drown down there and also since there is no heat or lights down there the water may last month down there to dry up ",ham,negative,,x,x,
3058,"I feel like this idea could work, with a lot of refining, on national highways, but not in cities. at least for now",ham,neutral,x,,,
3060,This would make sense above ground,ham,neutral,x,,,
3063,What would be the point of this once all the cars on the road are fully autonomous?,ham,neutral,,,,
3069,they should do that for there parking lots,ham,neutral,x,,,
3080,"It shows one car waiting lol bull S#*@ lets be more realistic, lets try a hundred cars backed up during non-peak hours and 1000 
cars waiting during rush hour. Okay, who's smoking crack thinking these ideas up?",ham,neutral,,x,,
3084,"What happens if there is a fire? Earthquake? Power outage? Flood? Medical emergency? Snakes?
 How do you get out if Trump is in there?",ham,neutral,,x,x,
3094,All fun and games until a car veers to the side of the road and falls down one of these holes,ham,neutral,,,x,
3095,Seems pretty inefficient to me. Having to wait for a car elevator. Am sure there are better ways to make a tunnel much more usefull.,ham,neutral,,,,x
3110,"I believe a similar system could be used on the already existing highways. cars can be fitted with a mechanism that allows it to be ""towed""
 on a strip that can just be laid on the highway. some highways can be compatible while others not until all highways receive the system. This will allow preexisting maintenance companies to continue their work, while creating a revolutionary idea that could decrease travel times hugely.",ham,neutral,x,,,
3124,"Weed induced ideas are rarely any good. People falling in, cars with people falling in, tunnels running into plumbing,
 cave in's, floods, earthquakes, mole people demanding civil rights, highway to Hell ....",ham,negative,,x,x,
3130,But what if your on a motorcycle?,ham,neutral,,x,,
3131,oh and never mind the giant holes in the side of the streets when someone is using it.,ham,neutral,,x,,
3139,Did anyone think about the massive holes that'd be on the side of the streets when there isn't a platform stationed there?,ham,neutral,,x,x,
3143,So what about the holes that the carts leave behind? Looks like a safety hazard.,ham,neutral,,x,x,
3147,What if there's an earthquake,ham,neutral,,x,x,
3159,"Wouldn't lots of people just take that, then we'll have traffic above and under ground",ham,neutral,,x,,
3164,how long did that black model x have to wait? I'm sure it wont be that seamless in reality.,ham,neutral,,x,,
3166,"If you're going to go this far you might as well ditch cars entirely and make a mass transit system like a subway or people mover. 
A bunch of expensive extra infrastructure just to incorporate that car function. It'd make more sense to have parking areas outside the city for commuters from the suburbs and then let them hop on whatever mass transit system. You could virtually eliminate the need for vehicles in cities that way, except for deliveries but there are things you can do about that too.",ham,neutral,x,,,
3170,Why don't we just build underground tunnels? There is no need for the vehicles carriers. Please correct me if I got anything wrong.,ham,neutral,x,,,
3173,"So... a subway system for individual cars. Why not just improve the already existing subway system? Subways can hold so much more people, 
and if improved, can be very efficient. With how much infrastructure change they proposed, they could easily help improve or add onto the subway system.",ham,neutral,x,x,,x
3176,"This would only work with electric vehicles, I cant imagine being down in a tunnel breathing CO2 from all the other cars.",ham,neutral,,x,x,
3181,"This system is not suitable for short distance travel. Anyway, a good public transport  + car lending would beat this boring concept.",ham,negative,x,x,,
3191,"There are no support beans on the tunnels, also if there is an earthquake what are you gonna do? It's all going to fall.",ham,neutral,,x,x,
3192,Wait until someone gets stuck down there without any phone signal,ham,neutral,,x,x,
3223,"this would be freaking expensive to make!!! and the whole ground might cave in on itself! especially when earthquakes happen!!
 what about the water after it rains? the underground cables to light the whole thing up!",ham,negative,,,x,x
3241,"impossible to do, the safety measurements would be insane",ham,negative,,,x,
